(591.000000,869.000000)
(596.899057,869.956184)
(596.899057,869.956184)
(1526.594651,1020.651483)
(1526.594651,1020.651483)
(2745.413646,1218.211087)
(2745.413646,1218.211087)
(2745.413646,1218.211087)
(3634.213303,1362.277523)
(5183.051636,1613.330295)
(5183.051636,1613.330295)
(5183.051636,1613.330295)
(5664.184945,1691.317680)
(6960.650949,1901.463166)
(6960.650949,1901.463166)
(6960.650949,1901.463166)
(7922.917568,2057.437936)
(7922.917568,2057.437936)
(8257.116954,2111.608653)
(8257.116954,2111.608653)
(9847.450805,2369.387475)
(9847.450805,2369.387475)
(10515.849576,2477.728908)
(10515.849576,2477.728908)
(13696.517278,2993.286554)
(13696.517278,2993.286554)
(15033.314821,3209.969420)
(15033.314821,3209.969420)
(21394.650226,4241.084711)
(21394.650226,4241.084711)
(24068.245312,4674.450444)
(24068.245312,4674.450444)
(36790.916120,6736.681026)
(36790.916120,6736.681026)
(42138.106293,7603.412490)
(42138.106293,7603.412490)
(67583.447910,11727.873655)
(67583.447910,11727.873655)
(78277.828254,13461.336584)
(78277.828254,13461.336584)
(129168.511488,21710.258914)
(129168.511488,21710.258914)
(150557.272177,25177.184772)
(150557.272177,25177.184772)
(252338.638645,41675.029431)
(252338.638645,41675.029431)
(295116.160024,48608.881147)
(295116.160024,48608.881147)
(498678.892960,81604.570465)
(498678.892960,81604.570465)
(584233.935717,95472.273898)
(584233.935717,95472.273898)
(991359.401588,161463.652533)
(991359.401588,161463.652533)
(1162469.487103,189199.059399)
(1162469.487103,189199.059399)
(1976720.418845,321181.816669)
(1976720.418845,321181.816669)
(2318940.589875,376652.630401)
(2318940.589875,376652.630401)
