(154.000000,269.000000)
(159.308930,270.987798)
(159.308930,270.987798)
(996.000000,42.290597)
(996.000000,-42.290597)
(2092.891258,368.413359)
(2092.891258,368.413359)
(2092.891258,368.413359)
(2892.777523,667.911100)
(4286.673774,1189.821272)
(4286.673774,1189.821272)
(4286.673774,1189.821272)
(4719.675658,1351.948178)
(5886.446304,1788.816753)
(5886.446304,1788.816753)
(5886.446304,1788.816753)
(6752.450071,2113.070567)
(6752.450071,2113.070567)
(7053.216950,2225.685328)
(7053.216950,2225.685328)
(8484.457606,2761.578194)
(8484.457606,2761.578194)
(9085.991364,2986.807716)
(9085.991364,2986.807716)
(11948.472677,4058.593448)
(11948.472677,4058.593448)
(13151.540191,4509.052492)
(13151.540191,4509.052492)
(18876.502817,6652.623956)
(18876.502817,6652.623956)
(21282.637846,7553.542044)
(21282.637846,7553.542044)
(32732.563097,11840.684972)
(32732.563097,11840.684972)
(37544.833155,13642.521149)
(37544.833155,13642.521149)
(60444.683658,22216.807004)
(60444.683658,22216.807004)
(70069.223773,25820.479357)
(70069.223773,25820.479357)
(115868.924780,42969.051068)
(115868.924780,42969.051068)
(135118.005010,50176.395775)
(135118.005010,50176.395775)
(226717.407025,84473.539196)
(226717.407025,84473.539196)
(265215.567483,98888.228611)
(265215.567483,98888.228611)
(448414.371513,167482.515452)
(448414.371513,167482.515452)
(525410.692430,196311.894283)
(525410.692430,196311.894283)
(891808.300489,333500.467965)
(891808.300489,333500.467965)
(1045800.942323,391159.225626)
(1045800.942323,391159.225626)
(1778596.158442,665536.372990)
(1778596.158442,665536.372990)
(2086581.442110,780853.888313)
(2086581.442110,780853.888313)
