(566.000000,497.000000)
(567.220189,497.967277)
(567.220189,497.967277)
(759.522775,650.410781)
(759.522775,650.410781)
(1011.628998,850.262260)
(1011.628998,850.262260)
(1011.628998,850.262260)
(-827.785519,996.000000)
(-507.416552,1249.965217)
(-507.416552,1249.965217)
(-507.416552,1249.965217)
(-407.896687,1328.857328)
(-139.729593,1541.440697)
(-139.729593,1541.440697)
(-139.729593,1541.440697)
(59.310136,1699.224919)
(59.310136,1699.224919)
(128.437500,1754.024066)
(128.437500,1754.024066)
(457.389595,2014.793362)
(457.389595,2014.793362)
(595.644324,2124.391657)
(595.644324,2124.391657)
(1253.548512,2645.930249)
(1253.548512,2645.930249)
(1530.057970,2865.126838)
(1530.057970,2865.126838)
(2845.866346,3908.204023)
(2845.866346,3908.204023)
(3398.885262,4346.597200)
(3398.885262,4346.597200)
(6030.502014,6432.751571)
(6030.502014,6432.751571)
(7136.539846,7309.537925)
(7136.539846,7309.537925)
(12399.773351,11481.846667)
(12399.773351,11481.846667)
(14611.849014,13235.419375)
(14611.849014,13235.419375)
(25138.316024,21580.036859)
(25138.316024,21580.036859)
(29562.467351,25087.182275)
(29562.467351,25087.182275)
(50615.401371,41776.417243)
(50615.401371,41776.417243)
(59463.704025,48790.708075)
(59463.704025,48790.708075)
(101569.572064,82169.178011)
(101569.572064,82169.178011)
(119266.177373,96197.759674)
(119266.177373,96197.759674)
(203477.913450,162954.699546)
(203477.913450,162954.699546)
(238871.124068,191011.862872)
(238871.124068,191011.862872)
(407294.596222,324525.742616)
(407294.596222,324525.742616)
(478081.017458,380640.069269)
(478081.017458,380640.069269)
