(992.000000,904.000000)
(996.000000,-898.797560)
(996.000000,-898.797560)
(1626.402842,-78.889260)
(1626.402842,-78.889260)
(2452.852878,1153.778521)
(2452.852878,-1153.778521)
(2452.852878,1153.778521)
(3055.525229,1937.620264)
(4105.752952,-571.683486)
(4105.752952,571.683486)
(4105.752952,-571.683486)
(4431.997163,996.000000)
(5311.097654,147.366972)
(5311.097654,-147.366972)
(5311.097654,147.366972)
(5963.586076,701.266055)
(5963.586076,-701.266055)
(6190.198145,996.000000)
(6190.198145,-996.000000)
(7268.562919,2398.532110)
(7268.562919,-2398.532110)
(7721.787058,2988.000000)
(7721.787058,-2988.000000)
(9878.516605,5793.064220)
(9878.516605,-5793.064220)
(10784.964883,6972.000000)
(10784.964883,-6972.000000)
(15098.423978,12582.128440)
(15098.423978,-12582.128440)
(16911.320533,14940.000000)
(16911.320533,-14940.000000)
(25538.238723,26160.256881)
(25538.238723,-26160.256881)
(29164.031834,30876.000000)
(29164.031834,-30876.000000)
(46417.868214,53316.513761)
(46417.868214,-53316.513761)
(53669.454435,62748.000000)
(53669.454435,-62748.000000)
(88177.127196,107629.027523)
(88177.127196,-107629.027523)
(102680.299637,126492.000000)
(102680.299637,-126492.000000)
(171695.645159,216254.055046)
(171695.645159,-216254.055046)
(200701.990043,253980.000000)
(200701.990043,-253980.000000)
(338732.681085,433504.110092)
(338732.681085,-433504.110092)
(396745.370853,508956.000000)
(396745.370853,-508956.000000)
(672806.752938,868004.220183)
(672806.752938,-868004.220183)
(788832.132473,1018908.000000)
(788832.132473,-1018908.000000)
(1340954.896645,1737004.440367)
(1340954.896645,-1737004.440367)
(1573005.655714,2038812.000000)
(1573005.655714,-2038812.000000)
