(708.000000,410.000000)
(713.990017,414.590128)
(713.990017,414.590128)
(1658.020894,1137.997493)
(1658.020894,1137.997493)
(2895.633262,2086.375267)
(2895.633262,2086.375267)
(2895.633262,2086.375267)
(3798.137615,2777.961009)
(5370.857998,3983.130814)
(5370.857998,3983.130814)
(5370.857998,3983.130814)
(5859.410061,4357.506450)
(7175.866703,5366.302299)
(7175.866703,5366.302299)
(7175.866703,5366.302299)
(8152.970829,6115.053572)
(8152.970829,6115.053572)
(8492.323345,6375.098149)
(8492.323345,6375.098149)
(10107.179080,7612.556117)
(10107.179080,7612.556117)
(10785.884113,8132.645270)
(10785.884113,8132.645270)
(14015.595582,10607.561207)
(14015.595582,10607.561207)
(15373.005648,11647.739513)
(15373.005648,11647.739513)
(21832.428586,16597.571387)
(21832.428586,16597.571387)
(24547.248718,18677.927999)
(24547.248718,18677.927999)
(37466.094594,28577.591746)
(37466.094594,28577.591746)
(42895.734859,32738.304972)
(42895.734859,32738.304972)
(68733.426610,52537.632465)
(68733.426610,52537.632465)
(79592.707140,60859.058916)
(79592.707140,60859.058916)
(131268.090642,100457.713903)
(131268.090642,100457.713903)
(152986.651703,117100.566805)
(152986.651703,117100.566805)
(256337.418707,196297.876780)
(256337.418707,196297.876780)
(299774.540829,229583.582584)
(299774.540829,229583.582584)
(506476.074837,387978.202532)
(506476.074837,387978.202532)
(593350.319081,454549.614140)
(593350.319081,454549.614140)
(1006753.387096,771338.854038)
(1006753.387096,771338.854038)
(1180501.875584,904481.677253)
(1180501.875584,904481.677253)
(2007308.011614,1538060.157048)
(2007308.011614,1538060.157048)
(2354804.988590,1804345.803479)
(2354804.988590,1804345.803479)
